nexus_name,species_name,common_name,Category,ssb_presence,ssb_prevalence,mean_temp_2019,mean_precip_2019,mean_cloud_2019,mean_biomass_2019,predator_count,size_dimorphism_presence,median_body_size,body_size_range,lifespan,sex_ratio,median_group_size,group_structure,hierarchical_structure,mating_system,infant_rearing_strategy,imputed_mean_temp_2019,imputed_mean_precip_2019,imputed_mean_cloud_2019,imputed_mean_biomass_2019,imputed_predator_count,imputed_sexual_dimorphism,imputed_median_body_mass,imputed_bodymass_range,imputed_lifespan,imputed_adult_sex_ratio,imputed_median_group_size,
Allenopithecus_nigroviridis_ott721471,Allenopithecus_nigroviridis,Allen's swamp monkey,Cercopithecidae,0,0,26.1424586,0.003162208,0.759356701,5.003486622,32,1,4.85,2.3,20,0.5,40,Multi-male-multi-female,NA,Polygynandrous,Maternal,26.1424586,0.003162208,0.759356701,5.003486622,32,1,4.85,2.3,20,0.5,40,
Allocebus_trichotis_ott516007,Allocebus_trichotis,Hairy-eared dwarf lemur,Strepsirrhini,0,0,23.7483063,0.009181897,0.920164168,4.744122604,25,0,0.08,0,15,0.85,3,Monogamous pairs,Dominant pair,Monogamous,Maternal,23.7483063,0.009181897,0.920164168,4.744122604,25,0,0.08,0,15,0.85,3,
Allochrocebus_lhoesti_ott954691,Allochrocebus_lhoesti,L'Hoest's monkey,Cercopithecidae,0,0,23.9476899,0.004602148,0.769086528,5.097254042,68,1,4.75,2.5,24,0.2,13,Single-male-multi-female,Patriarchal,Polygynous,Maternal,23.9476899,0.004602148,0.769086528,5.097254042,68,1,4.75,2.5,24,0.2,13,
Allochrocebus_preussi_ott283455,Allochrocebus_preussi,Preuss's monkey,Cercopithecidae,0,0,25.33103255,0.005912866,0.671356004,3.104378036,26,1,10,0,31,0.7,40,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.33103255,0.005912866,0.671356004,3.104378036,26,1,10,0,31,0.7,40,
Allochrocebus_solatus_ott807150,Allochrocebus_solatus,Sun-tailed monkey,Cercopithecidae,0,0,25.7024767,0.006970667,0.837669823,3.325627769,19,1,6.5,5,25,0.2,18,Single-male-multi-female,Patriarchal,Polygynous,Maternal,25.7024767,0.006970667,0.837669823,3.325627769,19,1,6.5,5,25,0.2,18,
Alouatta_arctoidea_ott3607552,Alouatta_arctoidea,Ursine howler,Platyrrhini,0,0,26.8970218,0.000211249,0.411486789,2.866239968,80,1,5.48,1.63,20,0.2,7,Single-male-multi-female,Patriarchal,Polygynous,Maternal,26.8970218,0.000211249,0.411486789,2.866239968,80,1,5.48,1.63,20,0.2,7,
Alouatta_belzebul_ott1058654,Alouatta_belzebul,Red-handed howler,Platyrrhini,0,0,25.8199367,0.011250197,0.820740866,3.502251302,73,1,6.35,3.3,20,0.5,9,Single-male-multi-female,Patriarchal,Polygynous,Maternal,25.8199367,0.011250197,0.820740866,3.502251302,73,1,6.35,3.3,20,0.5,9,
Alouatta_caraya_ott791697,Alouatta_caraya,Black howler,Platyrrhini,0,0,26.7514694,0.006305551,0.650189808,2.828731528,109,1,5.65,2.3,20,1,12,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,26.7514694,0.006305551,0.650189808,2.828731528,109,1,5.65,2.3,20,1,12,
Alouatta_discolor_ott3607550,Alouatta_discolor,Spix's red-handed howler,Platyrrhini,0,0,25.1095116,0.011204392,0.865338796,4.093813152,67,1,5.48,1.63,20,0.2,8,Single-male-multi-female,Patriarchal,Polygynous,Maternal,25.1095116,0.011204392,0.865338796,4.093813152,67,1,5.48,1.63,20,0.2,8,
Alouatta_juara_ott3607545,Alouatta_juara,Jurua red howler,Platyrrhini,0,0,24.7651351,0.007975723,0.794288328,4.776559141,101,1,NA,NA,20,0.2,6,Single-male-multi-female,Patriarchal,Polygynous,Maternal,24.7651351,0.007975723,0.794288328,4.776559141,101,1,6.403214483,2.938420538,20,0.2,6,
Alouatta_nigerrima_ott6520508,Alouatta_nigerrima,Amazon black howler,Platyrrhini,0,0,25.6605186,0.014226748,0.892847362,4.073585494,59,1,6,4,15,0.25,12,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.6605186,0.014226748,0.892847362,4.073585494,59,1,6,4,15,0.25,12,
Alouatta_palliata_ott1012045,Alouatta_palliata,Mantled howler,Platyrrhini,0,0,25.94429534,0.001845227,0.379554461,4.768097477,42,1,5.5,3,15,0.25,15,Multi-male-multi-female,Patriarchal,Polygynandrous,Maternal,25.94429534,0.001845227,0.379554461,4.768097477,42,1,5.5,3,15,0.25,15,
